                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0025,                0.94263,                 1.5896,                0.68228,                0.71358,                0.80098,                0.57549,                 1.0006,                 1.0219,                 1.6469,               0.007228,               0.007228,               0.007228
                     59,                0.98978,                0.91551,                 1.5782,                0.78618,                0.73327,                0.83011,                0.59168,                0.96857,                0.95274,                 1.6151,              0.0071785,              0.0071785,              0.0071785
                     60,                0.97403,                0.90602,                 1.5667,                0.75525,                0.72498,                0.82223,                0.59361,                0.94947,                0.96191,                 1.6439,               0.007129,               0.007129,               0.007129
                     61,                0.96972,                0.90905,                 1.5595,                0.76022,                0.73189,                 0.8357,                0.60342,                0.92646,                0.94912,                 1.6039,              0.0070795,              0.0070795,              0.0070795
                     62,                0.97735,                0.91646,                 1.5653,                0.77967,                0.68777,                0.79788,                0.56043,                0.94572,                 1.0039,                 1.6176,                0.00703,                0.00703,                0.00703
                     63,                0.95998,                0.91912,                 1.5513,                0.80525,                0.68419,                0.81728,                0.59588,                0.90417,                0.96058,                 1.5817,              0.0069805,              0.0069805,              0.0069805
                     64,                0.96773,                0.91289,                 1.5619,                0.77507,                0.71525,                 0.8183,                0.58801,                0.96429,                0.98077,                 1.6253,               0.006931,               0.006931,               0.006931
                     65,                0.93199,                0.87368,                 1.5207,                 0.7347,                0.72308,                 0.7829,                0.55886,                0.95091,                0.99702,                 1.6039,              0.0068815,              0.0068815,              0.0068815
                     66,                0.94471,                0.88076,                   1.54,                0.75442,                0.76826,                0.82608,                0.59292,                0.97349,                0.92111,                 1.6291,               0.006832,               0.006832,               0.006832
                     67,                0.93504,                0.87197,                 1.5245,                0.75962,                0.74454,                0.81757,                 0.6131,                0.85929,                0.87045,                 1.5251,              0.0067825,              0.0067825,              0.0067825
                     68,                0.93308,                0.87162,                 1.5203,                  0.854,                0.68077,                0.80446,                0.59274,                0.86945,                0.92805,                 1.5471,               0.006733,               0.006733,               0.006733
                     69,                0.93867,                 0.8748,                 1.5261,                0.71318,                0.75496,                0.82451,                0.60349,                0.88769,                0.92818,                 1.5565,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.9301,                0.86209,                 1.5168,                0.78766,                0.74789,                 0.8467,                0.59583,                0.90904,                 0.9143,                 1.5789,               0.006634,               0.006634,               0.006634
                     71,                0.93564,                0.85167,                 1.5227,                0.79958,                0.74437,                0.85908,                0.63223,                0.87883,                0.87171,                 1.5513,              0.0065845,              0.0065845,              0.0065845
                     72,                0.89698,                0.83647,                 1.4924,                0.73691,                0.74774,                0.83112,                0.61192,                 0.9171,                 0.9509,                 1.5804,               0.006535,               0.006535,               0.006535
                     73,                0.91157,                0.84684,                 1.4979,                0.76778,                0.73785,                0.84402,                 0.6157,                0.89282,                0.88181,                 1.5608,              0.0064855,              0.0064855,              0.0064855
                     74,                0.91728,                0.83712,                 1.5034,                 0.7639,                0.80411,                0.85186,                0.61602,                0.92434,                0.88952,                 1.5791,               0.006436,               0.006436,               0.006436
                     75,                0.92033,                0.83563,                 1.5045,                0.77273,                0.73174,                 0.8266,                0.60129,                0.90156,                0.91057,                 1.5632,              0.0063865,              0.0063865,              0.0063865
                     76,                0.92487,                0.84423,                 1.5096,                0.76855,                0.77186,                0.84331,                0.59983,                0.93184,                0.86743,                  1.606,               0.006337,               0.006337,               0.006337
                     77,                0.88604,                0.80857,                 1.4671,                0.78114,                0.75803,                0.84919,                0.62975,                0.89392,                0.84216,                 1.5697,              0.0062875,              0.0062875,              0.0062875
                     78,                0.88096,                 0.7863,                 1.4611,                0.72629,                0.75028,                0.81352,                0.59025,                0.88621,                0.95255,                  1.552,               0.006238,               0.006238,               0.006238
                     79,                0.89432,                0.79884,                 1.4779,                0.75829,                0.73026,                0.82564,                0.61056,                 0.8765,                0.88404,                 1.5344,              0.0061885,              0.0061885,              0.0061885
                     80,                0.89864,                0.80986,                  1.477,                0.74853,                0.85873,                 0.8838,                0.63936,                0.91906,                0.82119,                 1.5721,               0.006139,               0.006139,               0.006139
                     81,                0.87631,                0.80226,                 1.4685,                0.68722,                0.84867,                0.86619,                0.64306,                0.85733,                0.83636,                  1.508,              0.0060895,              0.0060895,              0.0060895
                     82,                0.88285,                0.79875,                 1.4616,                0.75057,                0.78744,                0.85473,                0.63113,                 0.8749,                 0.8481,                 1.5494,                0.00604,                0.00604,                0.00604
                     83,                0.88752,                0.82445,                 1.4791,                0.73334,                0.74992,                0.79878,                 0.5983,                0.86458,                0.88992,                 1.5189,              0.0059905,              0.0059905,              0.0059905
                     84,                0.89092,                 0.8182,                  1.478,                0.73593,                0.76547,                0.84277,                0.59384,                0.92823,                0.95338,                 1.6238,               0.005941,               0.005941,               0.005941
                     85,                0.88509,                0.79578,                 1.4626,                0.77089,                 0.7199,                0.83848,                0.61122,                0.89212,                0.84875,                 1.5515,              0.0058915,              0.0058915,              0.0058915
                     86,                0.86931,                0.77979,                 1.4508,                 0.7432,                0.74165,                0.83123,                0.60962,                0.86685,                0.86927,                 1.5173,               0.005842,               0.005842,               0.005842
                     87,                0.86375,                0.79105,                 1.4604,                0.78374,                0.79375,                0.85729,                0.62296,                0.84326,                0.83465,                 1.5149,              0.0057925,              0.0057925,              0.0057925
                     88,                 0.8595,                0.78379,                 1.4498,                0.81439,                0.74523,                0.85042,                0.61893,                0.84115,                 0.8505,                 1.5143,               0.005743,               0.005743,               0.005743
                     89,                0.87014,                0.77363,                 1.4469,                0.79055,                0.74437,                0.84669,                0.62573,                0.86287,                0.82241,                 1.5067,              0.0056935,              0.0056935,              0.0056935
                     90,                0.86048,                0.75797,                 1.4417,                0.73717,                0.82848,                0.85356,                0.63086,                 0.8515,                0.78851,                 1.5053,               0.005644,               0.005644,               0.005644
                     91,                0.85147,                0.76279,                 1.4371,                0.71479,                0.82856,                 0.8554,                0.62812,                0.84489,                0.81411,                 1.5163,              0.0055945,              0.0055945,              0.0055945
                     92,                0.84896,                0.76085,                 1.4272,                0.78251,                  0.749,                0.84685,                0.63113,                0.84321,                0.79918,                 1.4983,               0.005545,               0.005545,               0.005545
                     93,                0.85441,                0.75416,                 1.4266,                0.82124,                0.75931,                0.84867,                 0.6404,                0.83079,                0.76865,                 1.4734,              0.0054955,              0.0054955,              0.0054955
                     94,                0.84911,                0.75814,                 1.4327,                0.74582,                 0.8447,                0.88263,                0.64709,                 0.8164,                0.76984,                 1.4721,               0.005446,               0.005446,               0.005446
                     95,                0.84223,                0.74403,                 1.4169,                0.82332,                0.69878,                0.84866,                 0.6273,                0.83276,                0.82345,                 1.5063,              0.0053965,              0.0053965,              0.0053965
                     96,                0.84637,                0.75798,                 1.4363,                0.76967,                0.75865,                0.86401,                0.64134,                0.82915,                0.78335,                 1.4974,               0.005347,               0.005347,               0.005347
                     97,                0.84635,                0.75536,                  1.432,                0.81943,                0.76439,                0.88059,                0.64313,                 0.8539,                 0.8069,                 1.5134,              0.0052975,              0.0052975,              0.0052975
                     98,                0.82951,                 0.7362,                 1.4156,                0.80641,                 0.7836,                0.88226,                0.66175,                0.82021,                0.78236,                 1.4853,               0.005248,               0.005248,               0.005248
                     99,                0.82918,                0.73295,                 1.4116,                0.82995,                  0.771,                0.87554,                0.64896,                0.81768,                0.76901,                 1.4852,              0.0051985,              0.0051985,              0.0051985
                    100,                0.81686,                 0.7161,                 1.4014,                0.80452,                0.72463,                0.84139,                0.62295,                0.81545,                0.80529,                 1.4648,               0.005149,               0.005149,               0.005149
                    101,                0.82593,                0.72849,                 1.4041,                0.83999,                0.72018,                0.86605,                0.64466,                0.81763,                0.79426,                 1.4561,              0.0050995,              0.0050995,              0.0050995
                    102,                0.82276,                0.72286,                 1.3971,                0.83729,                0.77825,                0.88766,                0.66075,                0.78391,                0.76385,                 1.4261,                0.00505,                0.00505,                0.00505
                    103,                0.82067,                0.71929,                 1.4119,                0.82869,                 0.8046,                0.89499,                0.68428,                0.76531,                 0.7409,                 1.4133,              0.0050005,              0.0050005,              0.0050005
                    104,                 0.8101,                0.71254,                 1.3916,                0.81292,                0.76778,                0.87874,                0.65479,                0.80184,                0.74817,                 1.4613,               0.004951,               0.004951,               0.004951
                    105,                0.81116,                0.72749,                 1.4001,                0.77719,                0.81637,                 0.8847,                0.66442,                0.80334,                0.74458,                 1.4672,              0.0049015,              0.0049015,              0.0049015
                    106,                0.81325,                0.70848,                 1.3885,                 0.7922,                0.76956,                0.86687,                0.63831,                 0.8213,                0.73772,                 1.4847,               0.004852,               0.004852,               0.004852
                    107,                0.81816,                0.71743,                 1.4009,                 0.8293,                0.81746,                 0.8845,                0.65717,                0.81416,                0.74221,                 1.4734,              0.0048025,              0.0048025,              0.0048025
                    108,                0.80566,                0.70831,                  1.393,                0.88362,                0.77104,                 0.9014,                0.68069,                0.78593,                0.68897,                 1.4439,               0.004753,               0.004753,               0.004753
                    109,                 0.8089,                0.71385,                 1.3943,                0.81188,                0.80172,                0.88694,                0.65832,                 0.8101,                0.73848,                  1.477,              0.0047035,              0.0047035,              0.0047035
                    110,                0.79971,                0.68808,                 1.3784,                0.88617,                0.73069,                0.86118,                0.63919,                0.79303,                0.77394,                 1.4632,               0.004654,               0.004654,               0.004654
                    111,                0.79635,                0.70558,                 1.3753,                0.78399,                0.84194,                0.89609,                0.66005,                0.78025,                0.73493,                 1.4433,              0.0046045,              0.0046045,              0.0046045
                    112,                0.81627,                0.71675,                 1.3979,                0.76753,                0.78957,                0.86896,                0.66171,                0.78117,                0.74449,                 1.4343,               0.004555,               0.004555,               0.004555
