                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                  1.034,                 1.2013,                 1.7069,                0.62681,                0.69655,                0.73221,                 0.4803,                0.29731,                 1.1307,                 1.7447,               0.007624,               0.007624,               0.007624
                     51,                 1.0065,                 1.1777,                 1.6866,                0.61139,                 0.7913,                0.76444,                0.53813,                0.26742,                 1.0784,                 1.6425,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0206,                  1.184,                  1.686,                0.67803,                0.71986,                0.75622,                0.51554,                0.27084,                 1.0922,                 1.6508,               0.007525,               0.007525,               0.007525
                     53,                 1.0219,                 1.1718,                 1.6854,                0.57925,                0.72576,                0.74158,                 0.5221,                0.26087,                 1.0998,                 1.6352,              0.0074755,              0.0074755,              0.0074755
                     54,                0.96697,                 1.1448,                 1.6381,                0.55112,                0.72129,                0.72257,                0.50705,                0.26502,                 1.0752,                 1.6467,               0.007426,               0.007426,               0.007426
                     55,                0.99491,                 1.1545,                 1.6593,                0.60743,                0.73064,                0.72641,                0.49077,                0.27686,                  1.121,                 1.6773,              0.0073765,              0.0073765,              0.0073765
                     56,                0.98417,                   1.13,                 1.6456,                0.68381,                0.72545,                0.77814,                0.54416,                0.24703,                 1.0888,                 1.6154,               0.007327,               0.007327,               0.007327
                     57,                0.95875,                 1.1047,                 1.6345,                0.62785,                0.78538,                0.78298,                0.53422,                0.27064,                 1.0109,                 1.6503,              0.0072775,              0.0072775,              0.0072775
                     58,                0.96752,                 1.0961,                 1.6224,                0.66186,                0.69812,                 0.7631,                0.53632,                0.25145,                 1.0242,                 1.6191,               0.007228,               0.007228,               0.007228
                     59,                0.96705,                 1.1007,                 1.6227,                0.67986,                0.75733,                0.76989,                0.55541,                0.23432,                 0.9884,                 1.5627,              0.0071785,              0.0071785,              0.0071785
                     60,                0.94428,                 1.0951,                  1.601,                0.61858,                  0.775,                0.77777,                0.55249,                0.23938,                 1.0203,                 1.5697,               0.007129,               0.007129,               0.007129
                     61,                0.95538,                 1.0866,                 1.6095,                0.71604,                0.71754,                 0.7864,                0.54715,                0.26928,                 1.0186,                 1.6295,              0.0070795,              0.0070795,              0.0070795
                     62,                0.93991,                 1.0783,                 1.5943,                0.63559,                0.81032,                0.80778,                0.57615,                0.24174,                0.94776,                 1.5767,                0.00703,                0.00703,                0.00703
                     63,                0.92331,                 1.0486,                 1.5779,                0.66496,                0.75568,                 0.7802,                0.54968,                 0.2452,                 0.9489,                 1.5948,              0.0069805,              0.0069805,              0.0069805
                     64,                0.92946,                 1.0449,                 1.5723,                0.67741,                 0.7895,                0.78688,                0.53871,                 0.2566,                0.98233,                 1.6152,               0.006931,               0.006931,               0.006931
                     65,                 0.9325,                 1.0597,                 1.5783,                 0.7767,                0.73365,                0.82862,                 0.5904,                0.23277,                0.94956,                 1.5619,              0.0068815,              0.0068815,              0.0068815
                     66,                0.93596,                 1.0319,                 1.5741,                0.68433,                0.76871,                0.80453,                0.57391,                0.22462,                 0.9404,                 1.5431,               0.006832,               0.006832,               0.006832
                     67,                0.92168,                 1.0338,                 1.5747,                0.67053,                0.76405,                0.81315,                 0.5724,                0.24158,                0.92238,                 1.5802,              0.0067825,              0.0067825,              0.0067825
                     68,                0.91491,                 1.0294,                 1.5703,                0.74425,                0.71677,                0.79671,                0.57833,                0.23923,                 0.9802,                 1.5732,               0.006733,               0.006733,               0.006733
                     69,                0.87317,                0.98641,                 1.5263,                0.74777,                0.70286,                0.79973,                0.56511,                0.25315,                0.98267,                 1.6006,              0.0066835,              0.0066835,              0.0066835
                     70,                0.89825,                0.99736,                 1.5435,                0.71419,                0.76321,                0.81778,                0.58316,                0.22414,                0.93972,                  1.528,               0.006634,               0.006634,               0.006634
                     71,                0.88713,                0.99363,                 1.5354,                0.78945,                0.74715,                0.84206,                0.59429,                0.22534,                0.92985,                 1.5359,              0.0065845,              0.0065845,              0.0065845
                     72,                0.89742,                0.99953,                  1.544,                0.72518,                0.77519,                 0.8352,                0.56579,                0.26748,                0.95566,                 1.6127,               0.006535,               0.006535,               0.006535
                     73,                  0.878,                0.98102,                 1.5197,                0.80654,                0.74289,                 0.8617,                0.62276,                0.21806,                0.85349,                 1.5151,              0.0064855,              0.0064855,              0.0064855
                     74,                0.88611,                0.98098,                 1.5276,                0.66117,                0.84419,                0.81324,                0.59699,                0.21245,                0.92986,                 1.5026,               0.006436,               0.006436,               0.006436
                     75,                0.88171,                0.97511,                 1.5182,                0.69598,                0.82221,                0.83523,                0.60722,                0.21161,                0.88222,                 1.4987,              0.0063865,              0.0063865,              0.0063865
                     76,                0.88017,                0.95698,                 1.5059,                0.72421,                0.79504,                  0.843,                0.59918,                0.23023,                0.87762,                 1.5338,               0.006337,               0.006337,               0.006337
                     77,                0.86267,                0.95702,                 1.4954,                0.72121,                0.79689,                0.86123,                0.62502,                0.21316,                0.88689,                 1.4998,              0.0062875,              0.0062875,              0.0062875
